year,checkpoint,calendar_month,simulation_month,promotion,roster,target,cap,cash,runway,stability,free_agents,world_contracted
2053,December,December,336,Professional Fighters League,200,200,224,65677850,4800000,78,415,1908
2053,December,December,336,RIZIN Fighting Federation,176,176,200,48664164,4224000,77,415,1908
2053,December,December,336,Ultimate Fighting Championship,278,280,304,110327349,6720000,68,415,1908
2054,July,July,343,Absolute Championship Akhmat,144,144,168,62420197,3456000,76,415,1910
2054,July,July,343,BAMMA,144,144,168,28004497,3456000,62,415,1910
2054,July,July,343,BRAVE Combat Federation,144,144,168,53309169,3456000,85,415,1910
2054,July,July,343,Cage Warriors,160,160,184,35486064,3840000,70,415,1910
2054,July,July,343,KSW,160,160,184,41723486,3840000,63,415,1910
2054,July,July,343,Legacy Fighting Alliance,144,144,168,37742160,3456000,71,415,1910
2054,July,July,343,ONE Championship,200,200,224,73840624,4800000,78,415,1910
2054,July,July,343,Oktagon MMA,160,160,184,63044799,3840000,71,415,1910
2054,July,July,343,Professional Fighters League,200,200,224,66775841,4800000,80,415,1910
2054,July,July,343,RIZIN Fighting Federation,176,176,200,56410531,4224000,79,415,1910
2054,July,July,343,Ultimate Fighting Championship,278,280,304,107176293,6720000,70,415,1910
2054,December,December,348,Absolute Championship Akhmat,144,144,168,61991319,3456000,77,413,1905
2054,December,December,348,BAMMA,144,144,168,29477697,3456000,65,413,1905
2054,December,December,348,BRAVE Combat Federation,144,144,168,54891530,3456000,87,413,1905
2054,December,December,348,Cage Warriors,159,160,184,35288918,3840000,71,413,1905
2054,December,December,348,KSW,160,160,184,43138735,3840000,66,413,1905
2054,December,December,348,Legacy Fighting Alliance,144,144,168,38912764,3456000,72,413,1905
2054,December,December,348,ONE Championship,200,200,224,67209309,4800000,79,413,1905
2054,December,December,348,Oktagon MMA,160,160,184,76376856,3840000,75,413,1905
2054,December,December,348,Professional Fighters League,200,200,224,66156733,4800000,80,413,1905
2054,December,December,348,RIZIN Fighting Federation,174,176,200,57358208,4224000,80,413,1905
2054,December,December,348,Ultimate Fighting Championship,276,280,304,102262537,6720000,72,413,1905
2055,July,July,355,Absolute Championship Akhmat,144,144,168,62458514,3456000,79,414,1903
2055,July,July,355,BAMMA,144,144,168,31632412,3456000,68,414,1903
2055,July,July,355,BRAVE Combat Federation,144,144,168,51552865,3456000,88,414,1903
2055,July,July,355,Cage Warriors,160,160,184,35009741,3840000,70,414,1903
2055,July,July,355,KSW,160,160,184,44771363,3840000,69,414,1903
2055,July,July,355,Legacy Fighting Alliance,144,144,168,39026743,3456000,73,414,1903
2055,July,July,355,ONE Championship,198,200,224,64652678,4800000,82,414,1903
2055,July,July,355,Oktagon MMA,160,160,184,71743550,3840000,76,414,1903
2055,July,July,355,Professional Fighters League,200,200,224,84109893,4800000,83,414,1903
2055,July,July,355,RIZIN Fighting Federation,176,176,200,68883105,4224000,84,414,1903
2055,July,July,355,Ultimate Fighting Championship,273,280,304,120386922,6720000,77,414,1903
2055,December,December,360,Absolute Championship Akhmat,144,144,168,61314338,3456000,80,414,1906
2055,December,December,360,BAMMA,144,144,168,30225231,3456000,67,414,1906
2055,December,December,360,BRAVE Combat Federation,144,144,168,52511001,3456000,90,414,1906
2055,December,December,360,Cage Warriors,160,160,184,33994702,3840000,70,414,1906
2055,December,December,360,KSW,160,160,184,42803245,3840000,71,414,1906
2055,December,December,360,Legacy Fighting Alliance,144,144,168,39323544,3456000,73,414,1906
2055,December,December,360,ONE Championship,200,200,224,68513092,4800000,84,414,1906
2055,December,December,360,Oktagon MMA,159,160,184,72743683,3840000,77,414,1906
2055,December,December,360,Professional Fighters League,199,200,224,81749705,4800000,84,414,1906
2055,December,December,360,RIZIN Fighting Federation,176,176,200,70957681,4224000,85,414,1906
2055,December,December,360,Ultimate Fighting Championship,276,280,304,128278821,6720000,81,414,1906
2056,July,July,367,Absolute Championship Akhmat,144,144,168,57332988,3456000,80,412,1907
2056,July,July,367,BAMMA,144,144,168,30353421,3456000,67,412,1907
2056,July,July,367,BRAVE Combat Federation,144,144,168,50343654,3456000,92,412,1907
2056,July,July,367,Cage Warriors,160,160,184,37598270,3840000,74,412,1907
2056,July,July,367,KSW,159,160,184,42106966,3840000,74,412,1907
2056,July,July,367,Legacy Fighting Alliance,144,144,168,42415773,3456000,75,412,1907
2056,July,July,367,ONE Championship,199,200,224,72988282,4800000,86,412,1907
2056,July,July,367,Oktagon MMA,160,160,184,74597405,3840000,78,412,1907
2056,July,July,367,Professional Fighters League,200,200,224,79390437,4800000,84,412,1907
2056,July,July,367,RIZIN Fighting Federation,175,176,200,79766788,4224000,87,412,1907
2056,July,July,367,Ultimate Fighting Championship,278,280,304,131226313,6720000,86,412,1907
2056,December,December,372,Absolute Championship Akhmat,144,144,168,51476191,3456000,79,412,1903
2056,December,December,372,BAMMA,144,144,168,28231395,3456000,66,412,1903
2056,December,December,372,BRAVE Combat Federation,144,144,168,46804994,3456000,92,412,1903
2056,December,December,372,Cage Warriors,157,160,184,37368978,3840000,74,412,1903
2056,December,December,372,KSW,160,160,184,41325606,3840000,75,412,1903
2056,December,December,372,Legacy Fighting Alliance,142,144,168,41154065,3456000,74,412,1903
2056,December,December,372,ONE Championship,200,200,224,73359007,4800000,87,412,1903
2056,December,December,372,Oktagon MMA,156,160,184,82122934,3840000,80,412,1903
2056,December,December,372,Professional Fighters League,200,200,224,78653852,4800000,84,412,1903
2056,December,December,372,RIZIN Fighting Federation,176,176,200,84827144,4224000,89,412,1903
2056,December,December,372,Ultimate Fighting Championship,280,280,304,122193017,6720000,86,412,1903
2057,July,July,379,Absolute Championship Akhmat,144,144,168,50678701,3456000,80,411,1905
2057,July,July,379,BAMMA,144,144,168,26707413,3456000,67,411,1905
2057,July,July,379,BRAVE Combat Federation,144,144,168,48004274,3456000,95,411,1905
2057,July,July,379,Cage Warriors,157,160,184,36370950,3840000,75,411,1905
2057,July,July,379,KSW,160,160,184,48753663,3840000,78,411,1905
2057,July,July,379,Legacy Fighting Alliance,143,144,168,40237042,3456000,73,411,1905
2057,July,July,379,ONE Championship,200,200,224,77553220,4800000,90,411,1905
2057,July,July,379,Oktagon MMA,160,160,184,84054470,3840000,84,411,1905
2057,July,July,379,Professional Fighters League,200,200,224,79502481,4800000,85,411,1905
2057,July,July,379,RIZIN Fighting Federation,176,176,200,80399483,4224000,90,411,1905
2057,July,July,379,Ultimate Fighting Championship,277,280,304,118292568,6720000,86,411,1905
2057,December,December,384,Absolute Championship Akhmat,142,144,168,49489074,3456000,81,410,1895
2057,December,December,384,BAMMA,143,144,168,25275281,3456000,66,410,1895
2057,December,December,384,BRAVE Combat Federation,144,144,168,43268743,3456000,93,410,1895
2057,December,December,384,Cage Warriors,160,160,184,33866014,3840000,73,410,1895
2057,December,December,384,KSW,160,160,184,50558958,3840000,80,410,1895
2057,December,December,384,Legacy Fighting Alliance,142,144,168,41950685,3456000,73,410,1895
2057,December,December,384,ONE Championship,200,200,224,78819258,4800000,91,410,1895
2057,December,December,384,Oktagon MMA,155,160,184,72641402,3840000,82,410,1895
2057,December,December,384,Professional Fighters League,198,200,224,73535327,4800000,85,410,1895
2057,December,December,384,RIZIN Fighting Federation,175,176,200,77732079,4224000,91,410,1895
2057,December,December,384,Ultimate Fighting Championship,276,280,304,112245391,6720000,86,410,1895
2058,July,July,391,Absolute Championship Akhmat,144,144,168,55008395,3456000,84,410,1898
2058,July,July,391,BAMMA,143,144,168,24316135,3456000,66,410,1898
2058,July,July,391,BRAVE Combat Federation,143,144,168,41674914,3456000,93,410,1898
2058,July,July,391,Cage Warriors,160,160,184,31472887,3840000,72,410,1898
2058,July,July,391,KSW,160,160,184,51176191,3840000,80,410,1898
2058,July,July,391,Legacy Fighting Alliance,138,144,168,41386091,3456000,74,410,1898
2058,July,July,391,ONE Championship,200,200,224,85322778,4800000,95,410,1898
2058,July,July,391,Oktagon MMA,159,160,184,78250571,3840000,84,410,1898
2058,July,July,391,Professional Fighters League,197,200,224,84250697,4800000,89,410,1898
2058,July,July,391,RIZIN Fighting Federation,176,176,200,73974436,4224000,91,410,1898
2058,July,July,391,Ultimate Fighting Championship,278,280,304,104262673,6720000,86,410,1898
2058,December,December,396,Absolute Championship Akhmat,143,144,168,50818838,3456000,84,410,1887
2058,December,December,396,BAMMA,143,144,168,23001841,3456000,66,410,1887
2058,December,December,396,BRAVE Combat Federation,143,144,168,40473103,3456000,93,410,1887
2058,December,December,396,Cage Warriors,160,160,184,32612505,3840000,73,410,1887
2058,December,December,396,KSW,157,160,184,58146265,3840000,82,410,1887
2058,December,December,396,Legacy Fighting Alliance,141,144,168,40811079,3456000,75,410,1887
2058,December,December,396,ONE Championship,195,200,224,83673215,4800000,97,410,1887
2058,December,December,396,Oktagon MMA,157,160,184,75496139,3840000,85,410,1887
2058,December,December,396,Professional Fighters League,196,200,224,80077026,4800000,89,410,1887
2058,December,December,396,RIZIN Fighting Federation,176,176,200,68796186,4224000,90,410,1887
2058,December,December,396,Ultimate Fighting Championship,276,280,304,97057841,6720000,86,410,1887
2059,July,July,403,Absolute Championship Akhmat,143,144,168,53457204,3456000,87,409,1880
2059,July,July,403,BAMMA,140,144,168,21928913,3456000,66,409,1880
2059,July,July,403,BRAVE Combat Federation,143,144,168,40420355,3456000,93,409,1880
2059,July,July,403,Cage Warriors,160,160,184,32857470,3840000,73,409,1880
2059,July,July,403,KSW,157,160,184,61677493,3840000,85,409,1880
2059,July,July,403,Legacy Fighting Alliance,144,144,168,40538167,3456000,77,409,1880
2059,July,July,403,ONE Championship,195,200,224,87163861,4800000,99,409,1880
2059,July,July,403,Oktagon MMA,154,160,184,73679135,3840000,86,409,1880
2059,July,July,403,Professional Fighters League,196,200,224,83142943,4800000,91,409,1880
2059,July,July,403,RIZIN Fighting Federation,171,176,200,79620533,4224000,94,409,1880
2059,July,July,403,Ultimate Fighting Championship,277,280,304,113571271,6720000,88,409,1880
2059,December,December,408,Absolute Championship Akhmat,141,144,168,58600415,3456000,89,409,1875
2059,December,December,408,BAMMA,143,144,168,24082000,3456000,67,409,1875
2059,December,December,408,BRAVE Combat Federation,144,144,168,39196041,3456000,91,409,1875
2059,December,December,408,Cage Warriors,158,160,184,33730087,3840000,74,409,1875
2059,December,December,408,KSW,156,160,184,61358399,3840000,87,409,1875
2059,December,December,408,Legacy Fighting Alliance,140,144,168,39635079,3456000,77,409,1875
2059,December,December,408,ONE Championship,198,200,224,84863915,4800000,99,409,1875
2059,December,December,408,Oktagon MMA,157,160,184,66219538,3840000,85,409,1875
2059,December,December,408,Professional Fighters League,193,200,224,80395154,4800000,91,409,1875
2059,December,December,408,RIZIN Fighting Federation,171,176,200,78531791,4224000,95,409,1875
2059,December,December,408,Ultimate Fighting Championship,274,280,304,117965010,6720000,90,409,1875
2060,July,July,415,Absolute Championship Akhmat,141,144,168,63853944,3456000,92,409,1879
2060,July,July,415,BAMMA,142,144,168,27030924,3456000,68,409,1879
2060,July,July,415,BRAVE Combat Federation,142,144,168,41013989,3456000,94,409,1879
2060,July,July,415,Cage Warriors,157,160,184,34230203,3840000,76,409,1879
2060,July,July,415,KSW,155,160,184,59274285,3840000,88,409,1879
2060,July,July,415,Legacy Fighting Alliance,143,144,168,38275290,3456000,76,409,1879
2060,July,July,415,ONE Championship,200,200,224,81239739,4800000,99,409,1879
2060,July,July,415,Oktagon MMA,158,160,184,58926715,3840000,84,409,1879
2060,July,July,415,Professional Fighters League,192,200,224,79835287,4800000,92,409,1879
2060,July,July,415,RIZIN Fighting Federation,173,176,200,82819907,4224000,97,409,1879
2060,July,July,415,Ultimate Fighting Championship,276,280,304,117529980,6720000,90,409,1879
2060,December,December,420,Absolute Championship Akhmat,140,144,168,61521233,3456000,93,410,1875
2060,December,December,420,BAMMA,143,144,168,26441023,3456000,67,410,1875
2060,December,December,420,BRAVE Combat Federation,144,144,168,43680761,3456000,96,410,1875
2060,December,December,420,Cage Warriors,160,160,184,34390200,3840000,76,410,1875
2060,December,December,420,KSW,156,160,184,63042510,3840000,90,410,1875
2060,December,December,420,Legacy Fighting Alliance,141,144,168,37172546,3456000,77,410,1875
2060,December,December,420,ONE Championship,200,200,224,77015950,4800000,99,410,1875
2060,December,December,420,Oktagon MMA,159,160,184,56033335,3840000,83,410,1875
2060,December,December,420,Professional Fighters League,189,200,224,72769939,4800000,92,410,1875
2060,December,December,420,RIZIN Fighting Federation,172,176,200,79796612,4224000,97,410,1875
2060,December,December,420,Ultimate Fighting Championship,271,280,304,120831016,6720000,92,410,1875
2061,July,July,427,Absolute Championship Akhmat,142,144,168,58051546,3456000,93,409,1861
2061,July,July,427,BAMMA,143,144,168,28686949,3456000,69,409,1861
2061,July,July,427,BRAVE Combat Federation,138,144,168,43526769,3456000,98,409,1861
2061,July,July,427,Cage Warriors,156,160,184,35963054,3840000,77,409,1861
2061,July,July,427,KSW,156,160,184,58944689,3840000,90,409,1861
2061,July,July,427,Legacy Fighting Alliance,142,144,168,34590366,3456000,77,409,1861
2061,July,July,427,ONE Championship,197,200,224,74278306,4800000,100,409,1861
2061,July,July,427,Oktagon MMA,160,160,184,61437825,3840000,85,409,1861
2061,July,July,427,Professional Fighters League,189,200,224,89530351,4800000,96,409,1861
2061,July,July,427,RIZIN Fighting Federation,172,176,200,81630066,4224000,99,409,1861
2061,July,July,427,Ultimate Fighting Championship,266,280,304,119667734,6720000,92,409,1861
2061,December,December,432,Absolute Championship Akhmat,142,144,168,57216517,3456000,93,410,1863
2061,December,December,432,BAMMA,144,144,168,29654646,3456000,71,410,1863
2061,December,December,432,BRAVE Combat Federation,142,144,168,43584793,3456000,98,410,1863
2061,December,December,432,Cage Warriors,157,160,184,34930638,3840000,77,410,1863
2061,December,December,432,KSW,160,160,184,54159361,3840000,89,410,1863
2061,December,December,432,Legacy Fighting Alliance,142,144,168,33299987,3456000,77,410,1863
2061,December,December,432,ONE Championship,195,200,224,78136154,4800000,99,410,1863
2061,December,December,432,Oktagon MMA,160,160,184,66280862,3840000,88,410,1863
2061,December,December,432,Professional Fighters League,191,200,224,82244068,4800000,96,410,1863
2061,December,December,432,RIZIN Fighting Federation,169,176,200,81245433,4224000,99,410,1863
2061,December,December,432,Ultimate Fighting Championship,261,280,304,118545085,6720000,92,410,1863
2062,July,July,439,Absolute Championship Akhmat,142,144,168,55552478,3456000,94,409,1838
2062,July,July,439,BAMMA,143,144,168,28972562,3456000,72,409,1838
2062,July,July,439,BRAVE Combat Federation,140,144,168,46323653,3456000,100,409,1838
2062,July,July,439,Cage Warriors,153,160,184,32139216,3840000,73,409,1838
2062,July,July,439,KSW,160,160,184,59447534,3840000,92,409,1838
